iter	Passed	Remaining
0	15	7822
1	29	7241
2	43	7264
3	57	7158
4	69	6902
5	81	6680
6	93	6598
7	106	6532
8	118	6453
9	128	6282
10	142	6333
11	154	6278
12	166	6222
13	176	6119
14	187	6075
15	199	6031
16	209	5957
17	222	5963
18	236	5978
19	248	5969
20	259	5910
21	270	5876
22	280	5827
23	293	5820
24	306	5820
25	320	5836
26	334	5854
27	348	5869
28	360	5847
29	371	5822
30	385	5832
31	409	5992
32	423	5989
33	440	6034
34	455	6055
35	469	6046
36	486	6082
37	497	6052
38	508	6015
39	517	5948
40	528	5913
41	542	5913
42	557	5923
43	568	5889
44	582	5889
45	599	5920
46	619	5975
47	638	6012
48	656	6039
49	676	6088
50	697	6137
51	712	6136
52	730	6157
53	748	6180
54	761	6160
55	770	6108
56	781	6070
57	791	6028
58	800	5981
59	809	5939
60	817	5886
61	828	5850
62	838	5815
63	847	5771
64	859	5750
65	869	5719
66	877	5671
67	887	5639
68	900	5622
69	909	5588
70	916	5539
71	926	5508
72	934	5468
73	946	5449
74	967	5482
75	1008	5626
76	1032	5671
77	1046	5662
78	1058	5641
79	1068	5609
80	1088	5631
81	1102	5621
82	1117	5614
83	1134	5620
84	1146	5597
85	1170	5637
86	1190	5649
87	1212	5674
88	1238	5720
89	1258	5732
90	1272	5720
91	1284	5697
92	1304	5710
93	1322	5711
94	1339	5709
95	1355	5706
96	1393	5788
97	1415	5808
98	1442	5843
99	1460	5840
100	1482	5856
101	1495	5836
102	1518	5851
103	1543	5878
104	1560	5870
105	1575	5857
106	1586	5828
107	1597	5797
108	1605	5760
109	1615	5729
110	1628	5705
111	1635	5667
112	1645	5634
113	1654	5601
114	1664	5573
115	1679	5559
116	1691	5535
117	1700	5505
118	1713	5486
119	1727	5469
120	1737	5442
121	1750	5422
122	1761	5397
123	1772	5373
124	1784	5352
125	1797	5336
126	1812	5322
127	1821	5294
128	1831	5267
129	1843	5246
130	1854	5224
131	1863	5196
132	1874	5171
133	1884	5147
134	1893	5120
135	1903	5094
136	1912	5066
137	1923	5046
138	1934	5024
139	1944	4999
140	1956	4982
141	1971	4969
142	1988	4964
143	2002	4951
144	2018	4941
145	2027	4916
146	2038	4894
147	2049	4875
148	2058	4849
149	2069	4828
150	2079	4806
151	2096	4799
152	2109	4783
153	2121	4766
154	2136	4754
155	2151	4744
156	2168	4736
157	2181	4721
158	2194	4707
159	2205	4686
160	2219	4673
161	2235	4663
162	2251	4655
163	2263	4636
164	2278	4626
165	2297	4623
166	2308	4602
167	2324	4593
168	2338	4580
169	2357	4576
170	2376	4572
171	2390	4559
172	2406	4549
173	2421	4536
174	2437	4527
175	2448	4508
176	2458	4486
177	2472	4472
178	2488	4463
179	2499	4443
180	2521	4443
181	2533	4426
182	2546	4411
183	2557	4392
184	2572	4379
185	2590	4372
186	2610	4369
187	2631	4366
188	2646	4354
189	2656	4333
190	2673	4325
191	2694	4322
192	2703	4300
193	2728	4303
194	2747	4298
195	2772	4299
196	2798	4304
197	2821	4303
198	2855	4319
199	2875	4312
200	2884	4291
201	2896	4272
202	2912	4261
203	2929	4250
204	2944	4236
205	2959	4223
206	2976	4212
207	2989	4197
208	3006	4185
209	3018	4168
210	3029	4149
211	3047	4140
212	3069	4136
213	3088	4127
214	3102	4113
215	3118	4099
216	3131	4084
217	3148	4072
218	3160	4054
219	3171	4036
220	3181	4016
221	3193	3998
222	3205	3981
223	3214	3960
224	3229	3947
225	3243	3932
226	3256	3916
227	3282	3915
228	3298	3903
229	3313	3890
230	3332	3880
231	3351	3871
232	3366	3857
233	3381	3843
234	3396	3829
235	3409	3813
236	3419	3794
237	3433	3779
238	3449	3766
239	3466	3755
240	3485	3746
241	3505	3737
242	3517	3720
243	3526	3700
244	3538	3682
245	3553	3668
246	3560	3647
247	3575	3632
248	3587	3616
249	3600	3600
250	3613	3584
251	3622	3565
252	3638	3552
253	3653	3538
254	3663	3520
255	3678	3505
256	3688	3487
257	3706	3476
258	3719	3461
259	3733	3446
260	3744	3429
261	3757	3413
262	3769	3396
263	3779	3379
264	3788	3359
265	3800	3343
266	3813	3327
267	3828	3314
268	3840	3297
269	3851	3280
270	3864	3265
271	3885	3257
272	3908	3249
273	3935	3246
274	3962	3241
275	3983	3233
276	3996	3217
277	4010	3202
278	4026	3189
279	4048	3181
280	4071	3173
281	4081	3154
282	4093	3138
283	4102	3119
284	4115	3105
285	4124	3086
286	4142	3074
287	4153	3057
288	4164	3040
289	4177	3024
290	4191	3010
291	4204	2994
292	4216	2978
293	4232	2965
294	4246	2951
295	4259	2935
296	4268	2917
297	4281	2901
298	4291	2884
299	4300	2867
300	4315	2852
301	4331	2839
302	4361	2835
303	4373	2820
304	4390	2807
305	4402	2791
306	4415	2775
307	4429	2761
308	4442	2746
309	4451	2728
310	4464	2713
311	4478	2698
312	4489	2682
313	4499	2665
314	4508	2647
