CustomerID,State,City,Town,Recency,Frequency,Monetary
C1,State1,City1,Town1,84,13,6861.299866349133
C2,State1,City2,Town2,45,38,889.4214647190169
C3,State2,City1,Town2,72,16,8135.601144670215
C4,State1,City1,Town2,2,23,7750.489925676473
C5,State1,City2,Town2,2,23,2471.7379017808635
C6,State1,City2,Town2,58,40,4808.623453613058
C7,State1,City2,Town1,25,21,7295.082848729473
C8,State1,City2,Town1,6,46,3081.55305786408
C9,State1,City1,Town2,62,11,5731.789541965002
C10,State1,City2,Town2,32,25,8734.844776843487
C11,State2,City1,Town2,11,26,8836.369923514343
C12,State2,City1,Town1,28,47,3961.9875030575986
C13,State2,City2,Town2,48,26,6680.514031289876
C14,State1,City2,Town2,91,39,5634.009488815543
C15,State1,City1,Town1,47,2,5675.104708239413
C16,State1,City1,Town1,58,5,5618.067751915836
C17,State2,City1,Town2,77,33,2858.6395505019013
C18,State2,City2,Town2,55,16,3198.827771604321
C19,State2,City1,Town1,83,27,1268.7282019576724
C20,State1,City1,Town1,35,29,957.8627654776966
C21,State2,City1,Town2,77,46,6437.991891574595
C22,State2,City1,Town2,86,7,2134.0613259119277
C23,State2,City1,Town2,13,10,5390.501450605202
C24,State2,City1,Town1,47,9,1239.1622499563277
C25,State2,City2,Town2,68,6,8214.025612837755
C26,State2,City2,Town1,15,41,3535.707224186432
C27,State1,City1,Town1,94,18,6201.565667985175
C28,State2,City1,Town1,55,43,3531.3624479888063
C29,State1,City1,Town2,11,39,9166.690684697605
C30,State1,City2,Town1,42,35,1350.9887167975342
C31,State1,City2,Town2,4,34,572.6677459363515
C32,State2,City2,Town2,71,18,1376.6189474086764
C33,State2,City2,Town1,25,15,8027.9594707205
C34,State1,City2,Town2,41,10,1197.2769650608936
C35,State1,City1,Town1,88,35,6643.261110875718
C36,State1,City1,Town2,90,33,6730.086493248551
C37,State1,City2,Town1,63,1,6235.632690807266
C38,State2,City1,Town1,23,1,5045.848117832757
C39,State2,City2,Town1,87,1,2372.7103763524674
C40,State2,City1,Town2,47,40,4570.386166485546
C41,State2,City1,Town2,35,22,3440.684182911179
C42,State1,City2,Town2,98,36,3411.253603639938
C43,State1,City1,Town2,52,8,4834.897665273917
C44,State2,City1,Town1,46,28,4560.883094312016
C45,State2,City2,Town1,11,24,7365.3019067075975
C46,State2,City1,Town1,55,34,8629.251573481799
C47,State2,City1,Town1,1,16,5683.482221963701
C48,State2,City1,Town2,35,19,9542.839431922446
C49,State2,City1,Town2,90,45,2684.752881273495
C50,State2,City2,Town2,97,4,8160.351103968018
