TownID	CityID	StateID	CountryID	TownName	CityName	StateName	CountryName
25	1509	125	1	Ajeromi Ifelodun - Olodi	Ajeromi Ifelodun	Lagos	Nigeria
26	1509	125	1	Ajeromi Ifelodun - Ojo Road	Ajeromi Ifelodun	Lagos	Nigeria
27	1509	125	1	Ajeromi Ifelodun - Suru-alaba	Ajeromi Ifelodun	Lagos	Nigeria
28	1509	125	1	Ajeromi Ifelodun - Boundary	Ajeromi Ifelodun	Lagos	Nigeria
29	1509	125	1	Ajeromi Ifelodun - Ajegunle	Ajeromi Ifelodun	Lagos	Nigeria
90	1524	125	1	OKOKOMAIKO	Ojo	Lagos	Nigeria
135	1527	125	1	ORILE IGANMU	Surulere	Lagos	Nigeria
201	1521	125	1	Lagos Island - Adeniji	Lagos Island	Lagos	Nigeria
202	1521	125	1	Lagos Island - Marina	Lagos Island	Lagos	Nigeria
203	1521	125	1	Lagos Island - Onikan	Lagos Island	Lagos	Nigeria
204	1521	125	1	Lagos Island - Sura	Lagos Island	Lagos	Nigeria
205	1521	125	1	Lagos Island - Tbs	Lagos Island	Lagos	Nigeria
218	1525	125	1	Oshodi Isolo - Bolade	Oshodi Isolo	Lagos	Nigeria
220	1525	125	1	Oshodi Isolo - Mafoluku	Oshodi Isolo	Lagos	Nigeria
221	1525	125	1	Oshodi Isolo - Orile	Oshodi Isolo	Lagos	Nigeria
222	1525	125	1	Oshodi Isolo - Shogunle	Oshodi Isolo	Lagos	Nigeria
223	1525	125	1	Oshodi Isolo - Ajao Estate	Oshodi Isolo	Lagos	Nigeria
225	1525	125	1	Oshodi Isolo - Okota	Oshodi Isolo	Lagos	Nigeria
226	1525	125	1	Oshodi Isolo - Ago Palace	Oshodi Isolo	Lagos	Nigeria
227	1525	125	1	Oshodi Isolo - Ejigbo - Ailegun Road	Oshodi Isolo	Lagos	Nigeria
228	1525	125	1	Oshodi Isolo - Ejigbo - Bucknor	Oshodi Isolo	Lagos	Nigeria
229	1525	125	1	Oshodi Isolo - Ejigbo - Ile Epo	Oshodi Isolo	Lagos	Nigeria
230	1525	125	1	Oshodi Isolo - Ejigbo - Isheri Osun	Oshodi Isolo	Lagos	Nigeria
231	1525	125	1	Oshodi Isolo - Ejigbo - Jakande Wood Market	Oshodi Isolo	Lagos	Nigeria
232	1525	125	1	Oshodi Isolo - Ejigbo - Nnpc Road	Oshodi Isolo	Lagos	Nigeria
233	1525	125	1	Oshodi Isolo - Ejigbo - Oke - Afa	Oshodi Isolo	Lagos	Nigeria
234	1525	125	1	Oshodi Isolo - Ejigbo - Pipeline	Oshodi Isolo	Lagos	Nigeria
235	1525	125	1	Oshodi Isolo - Ejigbo - Powerline	Oshodi Isolo	Lagos	Nigeria
236	1511	125	1	Amuwo Odofin - Festac (1st Avenue)	Amuwo Odofin	Lagos	Nigeria
237	1511	125	1	Amuwo Odofin - Festac (2nd Avenue)	Amuwo Odofin	Lagos	Nigeria
238	1511	125	1	Amuwo Odofin - Festac (3rd Avenue)	Amuwo Odofin	Lagos	Nigeria
239	1511	125	1	Amuwo Odofin - Festac (4th Avenue)	Amuwo Odofin	Lagos	Nigeria
