SKUID,SKUCODE,ProductName,CategoryID,CategoryName,Segment,BrandID,BrandName,ManufacturerID,ManufacturerName
52682,TOCLNCLAS85G,Too Clean Classic Detergent 85g X 50,108,Home Care and Laundry,HC+PC,5873,too clean,103,Mamuda Groups of Companies
52685,TOCLNCLAS180G,Too Clean Classic Detergent 180g X 26,108,Home Care and Laundry,HC+PC,5873,too clean,103,Mamuda Groups of Companies
31862,TOCLEPACOL85G,Too Clean Pro For All Colours 85g X 48 + 2 Free Sachet,108,Home Care and Laundry,HC+PC,5873,too clean,103,Mamuda Groups of Companies
31864,TOCLEPACOL180G,Too Clean Pro For All Colours 180g X 24+2 Free Sachets,108,Home Care and Laundry,HC+PC,5873,too clean,103,Mamuda Groups of Companies
31866,KWIKLEMACT130G,Kwik Lemon Active 130g X 24+5 Free,108,Home Care and Laundry,HC+PC,5874,kwik,51,NOURDM GLOBAL
31868,KWIKLEMAC50G,Kwik Lemon Active 50g X 54 + 1 Free,108,Home Care and Laundry,HC+PC,5874,kwik,51,NOURDM GLOBAL
44396,KWIK50KG,Kwik Perboiled Rice 50kg X 1,152,Rice,Commodity,5874,kwik,744,SUPREME RICE MILLS LTD 
44816,BRAVMARG15KG,Bravo Margarine 15kg X 1,134,Margarine,Commodities,5875,bravo,784,Vabex Associates Int'l Ltd
44786,BRAULTWH100G,Bravo Ultra White Lemon Breeze Detergent 100g X 36,108,Home Care and Laundry,HC+PC,5875,bravo,230,EXTREME MANUFACTURING NIG LTD
44788,BRAULTWH50G,Bravo Ultra White Detergent 50g X 55,108,Home Care and Laundry,HC+PC,5875,bravo,230,EXTREME MANUFACTURING NIG LTD
52641,BRAVO130G,Bravo Detergent 130g X 24 +5,108,Home Care and Laundry,HC+PC,5875,bravo,230,EXTREME MANUFACTURING NIG LTD
52644,BRAVO350G,Bravo Detergent 350g X 12 +1,108,Home Care and Laundry,HC+PC,5875,bravo,230,EXTREME MANUFACTURING NIG LTD
52647,BRAUW850G,Bravo Ultra White Detergent  850 X 7,108,Home Care and Laundry,HC+PC,5875,bravo,230,EXTREME MANUFACTURING NIG LTD
52650,BRALIDW450ML,Bravo Liquid Dishwash 450gml X 18 Bottle,108,Home Care and Laundry,HC+PC,5875,bravo,230,EXTREME MANUFACTURING NIG LTD
45972,BRAVO80G,Bravo Detergent 80g X 50,108,Home Care and Laundry,HC+PC,5875,bravo,230,EXTREME MANUFACTURING NIG LTD
45974,BRAVO20G,Bravo Detergent 20g X 150,108,Home Care and Laundry,HC+PC,5875,bravo,230,EXTREME MANUFACTURING NIG LTD
45976,BRAVO170G,Bravo Detergent 170g X 26,108,Home Care and Laundry,HC+PC,5875,bravo,230,EXTREME MANUFACTURING NIG LTD
31870,BRAULTWH40G,Bravo Ultra White 40g X 60,108,Home Care and Laundry,HC+PC,5875,bravo,230,EXTREME MANUFACTURING NIG LTD
31873,PFTWHTDKSRV40MLPKT24,Perfect White Dark Spot Remover (dsr) 40ml X,114,Personal Care & Beauty,HC+PC,5876,PERFECT WHITE,516,DREAMS COSMETICS
31874,CT+CRTCRM200MLPKT6,Ct+ Carrotte Cream  200ml  X,114,Personal Care & Beauty,HC+PC,5877,CT+,516,DREAMS COSMETICS
31875,CT+CRM200MLPKT6,Ct+ Cream 200ml  X,114,Personal Care & Beauty,HC+PC,5877,CT+,516,DREAMS COSMETICS
31876,CT+LOT250MLPKT4,Ct+ Lotion 250ml  X,114,Personal Care & Beauty,HC+PC,5877,CT+,516,DREAMS COSMETICS
31877,CT+CRTLOT250MLPKT4,Ct+ Lotion Carrotte  250ml  X,114,Personal Care & Beauty,HC+PC,5877,CT+,516,DREAMS COSMETICS
31878,CT+CRTSRM75MLPKT8,Ct+ Serum Carrotte 75ml  X,114,Personal Care & Beauty,HC+PC,5877,CT+,516,DREAMS COSMETICS
31879,CT+SRM75MLPKT8,Ct+ Serum  75ml  X,114,Personal Care & Beauty,HC+PC,5877,CT+,516,DREAMS COSMETICS
31880,CT+CRTSHWGL800MLPKT2,Ct+ Shower Gel Carrotte 800ml  X,114,Personal Care & Beauty,HC+PC,5877,CT+,516,DREAMS COSMETICS
31881,CT+SHWGL800MLPKT2,Ct+ Shower Gel Golden 800ml  X,114,Personal Care & Beauty,HC+PC,5877,CT+,516,DREAMS COSMETICS
31896,CT+SOP175GPKT4,Ct+ Soap 175g   X 12,114,Personal Care & Beauty,HC+PC,5877,CT+,516,DREAMS COSMETICS
31897,CT+CRTSOP175GPKT4,Ct+ Carrotte Soap 175g   X 12,114,Personal Care & Beauty,HC+PC,5877,CT+,516,DREAMS COSMETICS
