Week,CustomerID,SKUID,SKUCODE,OrderCount,OrderFreqDays,OrderQty,OrderValue,LastDeliveryDate
20,5241849,22018,GPSPAG500G,1,1,1,18845,2025-05-12
21,3795075,22026,MIMEE_RC070,1,1,4,32000,2025-05-21
17,1807562,53418,VOS4596P8,1,1,2,37000,2025-04-24
18,5285166,21031,CWS012C,1,1,1,29800,2025-05-01
18,5375265,23702,THRCRWNEVP150G,1,1,1,14640,2025-05-02
15,5163629,46311,BP001,3,1,5,5,2025-04-07
16,3907259,44794,ISP001P2,1,1,2,29200,2025-04-14
17,2000748,21031,CWS012C,1,1,2,59600,2025-04-22
17,4091076,44794,ISP001P2,1,1,5,73000,2025-04-27
14,5269024,45723,LACHOCDR20X200,1,1,1,18750,2025-04-04
21,4776905,22026,MIMEE_RC070,2,2,10,80000,2025-05-24
19,5172049,22300,GPSEMO1KG,2,1,4,60400,2025-05-09
14,2305014,23012,AMSTELMACAN33CL,2,2,3,37050,2025-04-03
14,5337597,53418,VOS4596P8,1,1,1,18500,2025-04-04
22,5364878,54349,GPNODGMP70GPFO,1,1,2,15860,2025-05-27
20,5230684,54346,GPJCNOOD70GPFO,1,1,1,7930,2025-05-13
18,5252763,21031,CWS012C,1,1,1,29800,2025-04-30
17,5258269,22688,CHINSCHNOD70G,1,1,10,80600,2025-04-26
14,5327058,22018,GPSPAG500G,1,1,1,18845,2025-04-03
17,5176084,25127,GPSOIL1L,1,1,1,46189,2025-04-21
22,4455148,54349,GPNODGMP70GPFO,3,3,15,115500,2025-05-28
19,3897675,53421,VOS11040P3,1,1,1,18800,2025-05-08
16,5219962,44386,VIVPDETPW80G,1,1,2,16460,2025-04-15
20,5297496,22067,MCHEF500G,1,1,1,8320,2025-05-12
16,5340277,22028,MIMEE_RC100,1,1,5,51000,2025-04-16
21,4642546,19677,IBP280,1,1,1,13600,2025-05-23
15,4978200,45084,HHS075IN112,1,1,8,64000,2025-04-11
15,3960619,22067,MCHEF500G,1,1,2,16700,2025-04-11
15,5321808,22026,MIMEE_RC070,1,1,30,240000,2025-04-11
16,1809575,22016,DANG250G,1,1,2,36900,2025-04-17
16,5306342,22018,GPSPAG500G,1,1,5,94900,2025-04-19
21,5143452,45899,CPL25GX120P8,1,1,5,97500,2025-05-19
15,5391048,22026,MIMEE_RC070,1,1,2,16000,2025-04-07
18,5324619,30435,MIKSI12GX200,1,1,1,23160,2025-04-29
15,5284617,44794,ISP001P2,1,1,4,58400,2025-04-12
19,5307206,19687,IRC180,1,1,1,13300,2025-05-07
20,5252197,19687,IRC180,1,1,4,53200,2025-05-12
22,5363346,22065,GPSPAGTINI500G,1,1,1,18845,2025-05-29
20,3887873,45860,LAZOILSAC45ML,1,1,1,13800,2025-05-15
14,5177332,22836,ABSPAG500G,1,1,5,80280,2025-04-05
16,5199255,22026,MIMEE_RC070,1,1,10,80000,2025-04-15
18,5232566,23012,AMSTELMACAN33CL,1,1,2,24700,2025-05-01
17,5248574,22467,GPSPRD250G,1,1,1,20530,2025-04-23
15,5318094,19687,IRC180,1,1,5,66500,2025-04-07
16,3865385,23029,GPNODGMP70G,1,1,5,38500,2025-04-16
17,5357613,22065,GPSPAGTINI500G,1,1,1,18845,2025-04-24
20,5277761,54346,GPJCNOOD70GPFO,1,1,6,47580,2025-05-17
18,5238598,44521,VTTPMX50G,1,1,15,82500,2025-05-02
14,3861531,22068,MCHEF1KG,1,1,1,8100,2025-04-02
22,3899753,22028,MIMEE_RC100,3,2,29,298700,2025-05-29
18,5191652,44659,VTCHCKTP50G,1,1,1,5120,2025-05-02
21,5247649,23143,FANT60CL,1,1,1,4530,2025-05-21
16,3905527,21031,CWS012C,1,1,1,29800,2025-04-14
20,5171941,21031,CWS012C,1,1,2,59600,2025-05-12
18,1826702,22415,MCHEF250G,1,1,3,25950,2025-05-01
19,5201209,19677,IBP280,1,1,3,40800,2025-05-10
19,5172392,22466,GPSPRD15G,1,1,1,11685,2025-05-11
20,5298419,54346,GPJCNOOD70GPFO,1,1,3,23790,2025-05-13
19,5239523,19677,IBP280,1,1,1,13700,2025-05-06
17,5214464,21031,CWS012C,1,1,1,29800,2025-04-25
22,5358918,21031,CWS012C,1,1,1,29800,2025-05-27
14,5264764,22018,GPSPAG500G,1,1,2,38480,2025-04-02
16,5306336,45084,HHS075IN112,1,1,1,8000,2025-04-19
18,5306120,45084,HHS075IN112,1,1,1,8000,2025-05-02
15,5225734,22067,MCHEF500G,2,2,2,16700,2025-04-12
14,4052253,22300,GPSEMO1KG,1,1,15,202500,2025-04-05
15,3794735,19687,IRC180,1,1,2,26600,2025-04-09
19,4947845,46311,BP001,1,1,1,1,2025-05-07
19,5306164,24331,MAGCUBE4Gx20x60,1,1,1,18500,2025-05-07
18,5424963,22018,GPSPAG500G,1,1,25,471125,2025-05-02
16,5292012,22670,MALTICAN33CL,1,1,2,24700,2025-04-14
16,5257672,22836,ABSPAG500G,1,1,1,16303,2025-04-17
17,4215675,44521,VTTPMX50G,1,1,2,11220,2025-04-23
19,4088541,43238,CMS040,1,1,1,16000,2025-05-08
16,5366677,22300,GPSEMO1KG,1,1,1,14650,2025-04-15
20,5263065,53421,VOS11040P3,1,1,2,37600,2025-05-15
18,5299313,23012,AMSTELMACAN33CL,1,1,2,24700,2025-04-28
18,4578994,22018,GPSPAG500G,1,1,7,134050,2025-05-02
20,5274506,22028,MIMEE_RC100,1,1,20,206000,2025-05-15
18,5241710,25198,CHECUS45G,1,1,4,56800,2025-05-03
20,5291332,22466,GPSPRD15G,1,1,1,11690,2025-05-14
16,4561390,22415,MCHEF250G,1,1,1,8640,2025-04-17
17,5129363,44794,ISP001P2,1,1,4,58400,2025-04-25
16,3798450,23029,GPNODGMP70G,1,1,2,15400,2025-04-17
14,5251248,44792,IRC001P2,1,1,2,19000,2025-04-04
16,1800459,22028,MIMEE_RC100,1,1,5,51500,2025-04-17
21,5340777,22016,DANG250G,1,1,1,18425,2025-05-22
16,5364308,44794,ISP001P2,1,1,6,87600,2025-04-18
16,5226943,42988,NASC30G120,1,1,1,18400,2025-04-19
18,5262943,53421,VOS11040P3,1,1,1,18800,2025-04-28
19,3790854,53418,VOS4596P8,1,1,2,37000,2025-05-10
19,3056114,22065,GPSPAGTINI500G,4,3,18,339210,2025-05-11
17,5424477,44539,GINPJFTSM50G,2,2,2,16000,2025-04-26
21,5248027,44541,GINOPRTJF50G,1,1,50,350000,2025-05-23
16,4599208,44792,IRC001P2,1,1,2,19000,2025-04-17
20,5356853,19687,IRC180,1,1,2,26600,2025-05-13
16,2001811,22067,MCHEF500G,1,1,1,8350,2025-04-19
18,3859134,54346,GPJCNOOD70GPFO,1,1,2,16340,2025-04-29
14,5409424,42957,MPRSPG500G,1,1,1,16850,2025-04-04
16,3898574,42957,MPRSPG500G,1,1,1,16850,2025-04-15
14,4987089,21031,CWS012C,1,1,2,59600,2025-04-03
16,5271284,22837,ABSLMSPAG500G,1,1,1,15500,2025-04-17
21,2009952,22028,MIMEE_RC100,1,1,2,20700,2025-05-19
15,3898556,44792,IRC001P2,1,1,5,47500,2025-04-12
15,1928346,44794,ISP001P2,1,1,1,14600,2025-04-12
22,3916211,22026,MIMEE_RC070,2,2,50,394000,2025-05-29
18,5331734,22018,GPSPAG500G,1,1,3,56535,2025-05-03
17,4023942,52544,GPADBCRL45GPYS45GX4S,1,1,2,40860,2025-04-23
16,3960619,21031,CWS012C,1,1,2,59600,2025-04-15
21,4805578,44794,ISP001P2,1,1,2,29000,2025-05-20
20,5127373,30791,VOS11040,1,1,1,18800,2025-05-15
20,5257631,44794,ISP001P2,1,1,1,14600,2025-05-15
14,5422979,22018,GPSPAG500G,1,1,11,211200,2025-04-01
21,5296307,22018,GPSPAG500G,1,1,1,18845,2025-05-23
21,5206908,22018,GPSPAG500G,1,1,2,38300,2025-05-22
13,5342268,44388,VIVADET800G,1,1,8,86000,2025-03-30
14,4500919,22028,MIMEE_RC100,1,1,4,41200,2025-04-02
18,4021579,25457,MILSACH20GX200,1,1,2,68000,2025-04-29
15,4019493,22067,MCHEF500G,1,1,1,8320,2025-04-07
22,5309714,33204,GPCHOE-O15G,1,1,5,76325,2025-05-27
18,5243219,19679,IOC001,1,1,7,72100,2025-05-04
21,5251889,43238,CMS040,1,1,1,16000,2025-05-21
22,4024494,30291,INO70,1,1,1,9500,2025-05-28
19,5262427,44794,ISP001P2,1,1,1,14600,2025-05-07
14,4663042,44521,VTTPMX50G,1,1,1,5500,2025-04-01
21,3899018,19677,IBP280,1,1,2,27400,2025-05-19
14,4284182,22018,GPSPAG500G,1,1,1,18845,2025-04-06
20,1839065,53326,KIVO12GX220,1,1,1,15115,2025-05-13
20,4676087,23410,DANG1KG,1,1,1,18450,2025-05-15
17,5309314,22415,MCHEF250G,1,1,5,43250,2025-04-26
18,5259995,22068,MCHEF1KG,1,1,1,8060,2025-04-29
14,5384391,22019,GPTWST500G,1,1,10,192670,2025-04-02
15,5305129,22018,GPSPAG500G,2,2,3,56940,2025-04-10
15,5354452,21031,CWS012C,1,1,3,89400,2025-04-09
15,4249391,22300,GPSEMO1KG,1,1,1,15780,2025-04-10
22,5254720,22028,MIMEE_RC100,1,1,6,61800,2025-05-28
14,3859654,19677,IBP280,1,1,1,13700,2025-04-05
18,1832558,44545,GINJUBTO50G,3,2,4,24000,2025-05-01
21,3823652,44537,GINTOP55G,1,1,1,7690,2025-05-19
20,5334957,22463,GPSGR250G,1,1,1,17200,2025-05-12
18,3821986,22466,GPSPRD15G,1,1,5,58425,2025-04-29
16,5173023,30525,CCV45GPx96P,1,1,2,23200,2025-04-18
15,5230798,22989,VES002,1,1,1,39600,2025-04-09
20,4291206,44792,IRC001P2,1,1,2,18800,2025-05-14
14,5218825,22837,ABSLMSPAG500G,1,1,1,15400,2025-04-04
22,3901104,22836,ABSPAG500G,1,1,1,16303,2025-05-27
19,5180587,19687,IRC180,1,1,3,39900,2025-05-10
15,5149576,22028,MIMEE_RC100,1,1,1,10300,2025-04-12
19,5371169,22026,MIMEE_RC070,1,1,7,56000,2025-05-05
14,5372955,44792,IRC001P2,1,1,5,47500,2025-04-02
17,5291911,45084,HHS075IN112,1,1,1,8000,2025-04-21
19,5327453,22028,MIMEE_RC100,1,1,2,20600,2025-05-06
20,5216318,22670,MALTICAN33CL,1,1,2,24700,2025-05-12
21,5327058,22065,GPSPAGTINI500G,1,1,10,188450,2025-05-19
14,5232381,19687,IRC180,1,1,3,40200,2025-04-05
21,5092289,22068,MCHEF1KG,1,1,1,8060,2025-05-24
22,5331262,53421,VOS11040P3,1,1,20,376000,2025-05-27
17,4132136,22066,DANG500G,1,1,2,36900,2025-04-25
18,5393939,22018,GPSPAG500G,1,1,5,95750,2025-04-30
19,5250538,22018,GPSPAG500G,1,1,6,113070,2025-05-06
16,5430309,22026,MIMEE_RC070,1,1,20,160000,2025-04-17
21,5224744,42957,MPRSPG500G,1,1,1,17090,2025-05-24
15,5427384,22670,MALTICAN33CL,1,1,3,37050,2025-04-07
16,5130872,22415,MCHEF250G,1,1,1,8640,2025-04-15
17,5364308,44794,ISP001P2,1,1,9,131400,2025-04-22
18,5237844,22466,GPSPRD15G,1,1,2,23400,2025-05-03
15,5320427,22018,GPSPAG500G,1,1,3,53856,2025-04-08
20,5317870,22018,GPSPAG500G,1,1,3,57750,2025-05-12
18,5427414,19712,VOB001,1,1,2,78400,2025-04-29
20,5295310,21031,CWS012C,1,1,3,89400,2025-05-16
16,4006081,44541,GINOPRTJF50G,1,1,1,9000,2025-04-20
16,5370732,23655,MKSPAG500G,1,1,1,15200,2025-04-18
19,5316654,22026,MIMEE_RC070,1,1,10,80000,2025-05-11
16,1881952,44792,IRC001P2,1,1,4,38000,2025-04-16
14,5338388,22018,GPSPAG500G,1,1,5,94525,2025-03-31
14,5384481,44794,ISP001P2,1,1,3,43800,2025-04-05
17,3914682,22066,DANG500G,1,1,1,18450,2025-04-21
21,3961471,44794,ISP001P2,1,1,4,58000,2025-05-20
19,5214005,22067,MCHEF500G,1,1,4,33280,2025-05-06
20,5356884,44792,IRC001P2,1,1,1,9400,2025-05-16
16,5127300,44541,GINOPRTJF50G,1,1,1,9000,2025-04-20
21,4582146,54304,IRC001P2HW,1,1,5,47500,2025-05-20
14,5318381,22670,MALTICAN33CL,1,1,1,12320,2025-04-01
19,5365086,22473,HWSEMO1KG,1,1,2,30600,2025-05-10
16,5399632,22026,MIMEE_RC070,1,1,4,32000,2025-04-18
16,5330103,44792,IRC001P2,1,1,20,190000,2025-04-16
21,5326856,19677,IBP280,1,1,1,13600,2025-05-21
15,5363633,22670,MALTICAN33CL,1,1,1,12350,2025-04-07
19,4505849,22026,MIMEE_RC070,1,1,5,40000,2025-05-09
16,4161728,22466,GPSPRD15G,1,1,1,11445,2025-04-18
21,3900623,22415,MCHEF250G,2,2,9,77760,2025-05-22
19,5368380,22298,GPNOOD70G,1,1,2,15400,2025-05-08
21,5262529,44792,IRC001P2,1,1,5,47000,2025-05-23
14,5324887,19687,IRC180,1,1,2,26600,2025-04-02
16,5324672,22026,MIMEE_RC070,1,1,5,40000,2025-04-16
15,4703416,44794,ISP001P2,1,1,5,73000,2025-04-11
18,5298063,22068,MCHEF1KG,3,1,5,40300,2025-05-04
14,5232217,22026,MIMEE_RC070,1,1,5,40000,2025-04-03
20,5326692,53421,VOS11040P3,1,1,15,282000,2025-05-15
17,5294469,24368,GPSCU500G,1,1,2,106500,2025-04-24
15,5430309,22018,GPSPAG500G,1,1,1,18845,2025-04-11
15,5230862,44792,IRC001P2,1,1,5,47500,2025-04-09
20,1867006,22028,MIMEE_RC100,1,1,3,30900,2025-05-16
16,5284412,19677,IBP280,1,1,2,27200,2025-04-18
18,5358956,22065,GPSPAGTINI500G,1,1,3,56535,2025-04-28
18,4442200,22065,GPSPAGTINI500G,1,1,2,37690,2025-04-30
17,4384452,44792,IRC001P2,1,1,5,47500,2025-04-23
15,5230785,23029,GPNODGMP70G,1,1,3,23100,2025-04-08
