SKUID,Manufacturer,Category,Segment
SKU1,M1,Cat1,Seg2
SKU2,M2,Cat1,Seg2
SKU3,M3,Cat1,Seg2
SKU4,M1,Cat3,Seg1
SKU5,M2,Cat2,Seg2
SKU6,M1,Cat1,Seg1
SKU7,M3,Cat1,Seg2
SKU8,M1,Cat1,Seg1
SKU9,M2,Cat3,Seg1
SKU10,M1,Cat2,Seg1
SKU11,M2,Cat1,Seg1
SKU12,M3,Cat1,Seg1
SKU13,M2,Cat3,Seg2
SKU14,M1,Cat3,Seg1
SKU15,M2,Cat2,Seg2
SKU16,M1,Cat3,Seg2
SKU17,M2,Cat1,Seg1
SKU18,M3,Cat3,Seg1
SKU19,M3,Cat1,Seg1
SKU20,M3,Cat3,Seg1
SKU21,M3,Cat3,Seg2
SKU22,M2,Cat1,Seg1
SKU23,M1,Cat2,Seg2
SKU24,M2,Cat1,Seg2
SKU25,M1,Cat1,Seg2
SKU26,M2,Cat3,Seg1
SKU27,M3,Cat1,Seg1
SKU28,M1,Cat3,Seg2
SKU29,M2,Cat3,Seg2
SKU30,M3,Cat1,Seg1
SKU31,M3,Cat3,Seg2
SKU32,M3,Cat2,Seg2
SKU33,M1,Cat3,Seg1
SKU34,M3,Cat1,Seg2
SKU35,M1,Cat2,Seg1
SKU36,M2,Cat2,Seg1
SKU37,M3,Cat2,Seg2
SKU38,M2,Cat3,Seg2
SKU39,M3,Cat3,Seg2
SKU40,M3,Cat2,Seg1
SKU41,M2,Cat2,Seg2
SKU42,M2,Cat2,Seg1
SKU43,M1,Cat1,Seg2
SKU44,M1,Cat1,Seg1
SKU45,M1,Cat3,Seg2
SKU46,M2,Cat1,Seg2
SKU47,M2,Cat3,Seg1
SKU48,M2,Cat2,Seg2
SKU49,M3,Cat2,Seg1
SKU50,M2,Cat3,Seg2
SKU51,M1,Cat1,Seg2
SKU52,M3,Cat2,Seg2
SKU53,M2,Cat2,Seg2
SKU54,M2,Cat2,Seg1
SKU55,M2,Cat1,Seg2
SKU56,M2,Cat2,Seg1
SKU57,M1,Cat1,Seg2
SKU58,M2,Cat3,Seg1
SKU59,M3,Cat2,Seg1
SKU60,M1,Cat1,Seg2
SKU61,M3,Cat3,Seg2
SKU62,M3,Cat2,Seg2
SKU63,M2,Cat3,Seg2
SKU64,M1,Cat3,Seg2
SKU65,M3,Cat2,Seg2
SKU66,M2,Cat1,Seg2
SKU67,M1,Cat3,Seg2
SKU68,M2,Cat2,Seg2
SKU69,M3,Cat2,Seg1
SKU70,M1,Cat3,Seg1
SKU71,M3,Cat3,Seg1
SKU72,M1,Cat1,Seg1
SKU73,M1,Cat3,Seg2
SKU74,M1,Cat2,Seg2
SKU75,M2,Cat2,Seg1
SKU76,M1,Cat1,Seg2
SKU77,M2,Cat2,Seg1
SKU78,M3,Cat1,Seg2
SKU79,M2,Cat3,Seg1
SKU80,M2,Cat3,Seg2
SKU81,M2,Cat2,Seg2
SKU82,M1,Cat2,Seg2
SKU83,M2,Cat1,Seg1
SKU84,M2,Cat1,Seg2
SKU85,M1,Cat1,Seg1
SKU86,M2,Cat3,Seg1
SKU87,M2,Cat3,Seg1
SKU88,M3,Cat1,Seg2
SKU89,M1,Cat2,Seg2
SKU90,M2,Cat3,Seg1
SKU91,M1,Cat1,Seg2
SKU92,M1,Cat1,Seg2
SKU93,M3,Cat2,Seg1
SKU94,M1,Cat3,Seg1
SKU95,M3,Cat3,Seg1
SKU96,M2,Cat3,Seg2
SKU97,M2,Cat2,Seg2
SKU98,M2,Cat3,Seg1
SKU99,M1,Cat1,Seg2
SKU100,M3,Cat1,Seg2
