Feature,Importance
Customer_Frequency,0.214815981440604
Customer_Recency,0.1497881071603515
Customer_Monetary,0.14355389217015393
Category_RollingTotalSales_12Weeks,0.07385042754448504
Category_RollingTotalSales_8Weeks,0.07331685028035048
Category_RollingTotalSales_4Weeks,0.06507745236664238
Customer_RollingAvgOrderValue_12Weeks,0.040839903198601285
Customer_RollingUniqueSKUsPurchased_8Weeks,0.04033807116697087
Customer_TotalUniqueSKUsPurchased_Overall,0.032218270971887175
Customer_RollingAvgOrderValue_4Weeks,0.024924101162849897
Customer_RollingUniqueSKUsPurchased_4Weeks,0.024758894540054907
Customer_RollingAvgOrderValue_8Weeks,0.024423938900295383
Customer_RollingUniqueSKUsPurchased_12Weeks,0.016535495993235085
Customer_RollingPurchaseCount_8Weeks,0.015976740846133552
Week,0.010939734007176165
Customer_RollingPurchaseCount_4Weeks,0.008235807860262009
Customer_RollingPurchaseCount_12Weeks,0.008233154986628622
SKU_RollingTotalSales_12Weeks,0.008023305999136816
SKU_RollingPurchaseCount_12Weeks,0.008012079985954237
SKU_RollingPurchaseCount_8Weeks,0.007994813045458314
Town_SKU_PurchaseCount_8Weeks,0.007342192691029901
SKUID,0.0003081932032479076
CustomerID,0.00022929597233011946
SKU_RollingTotalSales_4Weeks,0.0001107814106959648
SKU_RollingTotalSales_8Weeks,6.679948914431682e-05
SKU_RollingPurchaseCount_4Weeks,3.894407831788511e-05
Town_SKU_PurchaseCount_4Weeks,2.334625999548982e-05
Town_SKU_PurchaseCount_12Weeks,1.558434579334572e-05
SKU_TotalSales_CustomerState_Overall,7.838922213382853e-06
DaysSinceLastPurchase_SKU,0.0
AvgOrderValue_SKU_by_Customer,0.0
TotalPurchases_SKU,0.0
Customer_PurchaseCount_Trend,0.0
