Feature,Importance
Customer_Monetary,36.83189786839961
Customer_Recency,35.340115723781594
Customer_Frequency,24.61432784344459
Week,0.5917474548557057
AvgOrderValue_SKU_by_Customer,0.26241698817170506
SKU_TotalSales_CustomerState_Overall,0.19020860419677976
SKU_RollingTotalSales_12Weeks,0.16279806462233554
DaysSinceLastPurchase_SKU,0.1551175682709821
SKU_RollingPurchaseCount_8Weeks,0.14516087976622266
TotalPurchases_SKU,0.13255398248828926
Customer_RollingUniqueSKUsPurchased_12Weeks,0.12380132332931462
Customer_RollingPurchaseCount_12Weeks,0.11631462890036341
Town_SKU_PurchaseCount_4Weeks,0.10437728349395571
Category_RollingTotalSales_12Weeks,0.09900127596120065
Town_SKU_PurchaseCount_8Weeks,0.09366881564191258
Customer_RollingPurchaseCount_4Weeks,0.09099512454797246
Category_RollingTotalSales_4Weeks,0.08935842942509685
SKU_RollingTotalSales_4Weeks,0.08447922622563012
Customer_RollingAvgOrderValue_8Weeks,0.08220315383268843
Customer_TotalUniqueSKUsPurchased_Overall,0.08142364998125647
Customer_PurchaseCount_Trend,0.07653931786808339
Customer_RollingUniqueSKUsPurchased_8Weeks,0.071988445010436
Customer_RollingAvgOrderValue_4Weeks,0.06574584537147511
SKU_RollingTotalSales_8Weeks,0.059047645314658816
Customer_RollingPurchaseCount_8Weeks,0.05807075340741623
Category_RollingTotalSales_8Weeks,0.057684883951576685
Customer_RollingUniqueSKUsPurchased_4Weeks,0.05578881403130386
Customer_RollingAvgOrderValue_12Weeks,0.051075890022499945
SKU_RollingPurchaseCount_4Weeks,0.049971527104934965
Town_SKU_PurchaseCount_12Weeks,0.038964681813834556
SKU_RollingPurchaseCount_12Weeks,0.0231543067665589
CustomerID,0.0
SKUID,0.0
