Feature,Importance
Customer_Recency,112
SKUID,106
CustomerID,100
DaysSinceLastPurchase_SKU,57
AvgOrderValue_SKU_by_Customer,54
SKU_TotalSales_CustomerState_Overall,16
Customer_RollingAvgOrderValue_4Weeks,7
Customer_Monetary,5
TotalPurchases_SKU,4
Customer_Frequency,4
Week,3
SKU_RollingTotalSales_4Weeks,3
Customer_RollingAvgOrderValue_12Weeks,2
Customer_TotalUniqueSKUsPurchased_Overall,1
Customer_RollingAvgOrderValue_8Weeks,1
Customer_RollingPurchaseCount_8Weeks,1
Customer_PurchaseCount_Trend,1
Customer_RollingUniqueSKUsPurchased_8Weeks,0
Category_RollingTotalSales_4Weeks,0
Customer_RollingPurchaseCount_4Weeks,0
SKU_RollingPurchaseCount_4Weeks,0
Customer_RollingUniqueSKUsPurchased_4Weeks,0
SKU_RollingTotalSales_8Weeks,0
SKU_RollingPurchaseCount_8Weeks,0
Category_RollingTotalSales_8Weeks,0
SKU_RollingPurchaseCount_12Weeks,0
SKU_RollingTotalSales_12Weeks,0
Customer_RollingPurchaseCount_12Weeks,0
Customer_RollingUniqueSKUsPurchased_12Weeks,0
Town_SKU_PurchaseCount_8Weeks,0
Town_SKU_PurchaseCount_4Weeks,0
Category_RollingTotalSales_12Weeks,0
Town_SKU_PurchaseCount_12Weeks,0
