Feature,Importance
Customer_Frequency,0.19414186912426462
Customer_Recency,0.15179492412520043
Customer_Monetary,0.1385513270458614
Category_RollingTotalSales_4Weeks,0.0987650723193065
Category_RollingTotalSales_8Weeks,0.07374598154816321
Category_RollingTotalSales_12Weeks,0.06549914046889187
Customer_RollingAvgOrderValue_8Weeks,0.04891112965369312
Customer_RollingUniqueSKUsPurchased_4Weeks,0.0488847991028255
Customer_RollingAvgOrderValue_4Weeks,0.03231602823336959
Customer_RollingAvgOrderValue_12Weeks,0.02429327253938718
Customer_TotalUniqueSKUsPurchased_Overall,0.024284062746980885
Customer_RollingUniqueSKUsPurchased_8Weeks,0.024206556300582452
Customer_RollingUniqueSKUsPurchased_12Weeks,0.016606635154959273
Customer_RollingPurchaseCount_4Weeks,0.01627194729963379
SKU_RollingTotalSales_4Weeks,0.015701736641718565
Week,0.009244749809530209
Customer_RollingPurchaseCount_12Weeks,0.00804893358759722
Customer_RollingPurchaseCount_8Weeks,0.007968291165992273
SKUID,0.00029136903231932195
CustomerID,0.00015837125051078156
SKU_RollingPurchaseCount_12Weeks,0.00011034269721387319
SKU_RollingPurchaseCount_8Weeks,9.282069881734809e-05
SKU_TotalSales_CustomerState_Overall,3.948065818895542e-05
SKU_RollingPurchaseCount_4Weeks,3.089845201502955e-05
SKU_RollingTotalSales_12Weeks,2.4057051896315262e-05
Town_SKU_PurchaseCount_12Weeks,1.620329108035488e-05
Town_SKU_PurchaseCount_8Weeks,1.4943942256608731e-16
SKU_RollingTotalSales_8Weeks,6.832904595195629e-18
Town_SKU_PurchaseCount_4Weeks,3.0405850872075375e-18
DaysSinceLastPurchase_SKU,0.0
AvgOrderValue_SKU_by_Customer,0.0
TotalPurchases_SKU,0.0
Customer_PurchaseCount_Trend,0.0
