Feature,Importance
Customer_Recency,1.0
DaysSinceLastPurchase_SKU,0.0
TotalPurchases_SKU,0.0
AvgOrderValue_SKU_by_Customer,0.0
Customer_Frequency,0.0
Customer_Monetary,0.0
Customer_TotalUniqueSKUsPurchased_Overall,0.0
SKU_TotalSales_CustomerState_Overall,0.0
Customer_RollingAvgOrderValue_4Weeks,0.0
Customer_RollingUniqueSKUsPurchased_4Weeks,0.0
Customer_RollingPurchaseCount_4Weeks,0.0
SKU_RollingTotalSales_4Weeks,0.0
SKU_RollingPurchaseCount_4Weeks,0.0
Category_RollingTotalSales_4Weeks,0.0
Customer_RollingAvgOrderValue_8Weeks,0.0
Customer_RollingUniqueSKUsPurchased_8Weeks,0.0
Customer_RollingPurchaseCount_8Weeks,0.0
SKU_RollingTotalSales_8Weeks,0.0
SKU_RollingPurchaseCount_8Weeks,0.0
Category_RollingTotalSales_8Weeks,0.0
Customer_RollingAvgOrderValue_12Weeks,0.0
Customer_RollingUniqueSKUsPurchased_12Weeks,0.0
Customer_RollingPurchaseCount_12Weeks,0.0
SKU_RollingTotalSales_12Weeks,0.0
SKU_RollingPurchaseCount_12Weeks,0.0
Category_RollingTotalSales_12Weeks,0.0
Customer_PurchaseCount_Trend,0.0
Town_SKU_PurchaseCount_4Weeks,0.0
Town_SKU_PurchaseCount_8Weeks,0.0
Town_SKU_PurchaseCount_12Weeks,0.0
CustomerID,0.0
SKUID,0.0
Week,0.0
