CustomerID,State,City,Town,Recency,Frequency,Monetary
1001,Florida,Miami,The Woodlands,37,90,17352.97
1002,Illinois,Los Angeles,Brooklyn,280,62,8773.58
1003,New York,Miami,Santa Monica,349,23,23422.54
1004,Illinois,Houston,Santa Monica,302,9,1075.74
1005,Illinois,Los Angeles,Sunny Isles Beach,181,12,10506.86
1006,Texas,Chicago,Brooklyn,95,1,24192.76
1007,New York,New York,Naperville,99,58,13744.5
1008,New York,Miami,Brooklyn,188,1,10644.43
1009,New York,New York,Sunny Isles Beach,116,34,14256.16
1010,Illinois,New York,Sunny Isles Beach,191,96,14440.52
1011,Florida,Los Angeles,Brooklyn,253,48,18318.03
1012,New York,New York,Sunny Isles Beach,161,89,3279.47
1013,Illinois,Chicago,Brooklyn,256,1,6325.41
1014,Texas,New York,The Woodlands,323,16,14555.55
1015,Florida,Los Angeles,Brooklyn,128,61,21691.2
1016,Texas,Chicago,Brooklyn,18,64,14090.48
1017,Florida,Houston,Sunny Isles Beach,281,63,6041.06
1018,Illinois,New York,Sunny Isles Beach,223,69,17028.14
1019,California,Los Angeles,Santa Monica,54,22,18523.73
1020,Florida,Houston,Santa Monica,58,93,6032.08
1021,Texas,Houston,The Woodlands,323,67,9505.45
1022,Illinois,Miami,Santa Monica,360,76,13404.75
1023,Florida,Chicago,Brooklyn,174,26,12464.37
1024,California,New York,Sunny Isles Beach,280,16,9801.49
1025,California,Los Angeles,Santa Monica,114,51,7511.12
1026,New York,Miami,Santa Monica,288,86,2589.62
1027,New York,Chicago,The Woodlands,342,57,1431.78
1028,Texas,Miami,The Woodlands,151,29,23967.68
1029,Florida,Chicago,Brooklyn,127,78,21193.86
1030,Florida,Chicago,Sunny Isles Beach,155,92,8937.14
1031,New York,New York,The Woodlands,273,69,23924.34
1032,Florida,Chicago,Santa Monica,104,47,16951.57
1033,Florida,Miami,Sunny Isles Beach,299,94,12114.77
1034,California,Chicago,Sunny Isles Beach,246,62,12376.34
1035,New York,New York,Santa Monica,176,69,2173.78
1036,Illinois,New York,The Woodlands,39,76,2383.43
1037,New York,Miami,Santa Monica,170,16,15100.78
1038,Illinois,Houston,Sunny Isles Beach,247,90,13887.21
1039,California,Houston,Naperville,26,90,5396.92
1040,Texas,Chicago,Naperville,355,48,23660.24
1041,Florida,Los Angeles,Brooklyn,306,85,19554.27
1042,California,Chicago,Santa Monica,13,39,2925.27
1043,Florida,Miami,Santa Monica,316,33,23280.13
1044,Texas,Miami,Brooklyn,313,94,24358.78
1045,Texas,Miami,Brooklyn,36,23,24898.69
1046,California,Miami,Brooklyn,173,10,1491.19
1047,Texas,Miami,Sunny Isles Beach,20,69,18452.19
1048,Illinois,New York,Santa Monica,321,34,13693.3
1049,Texas,Houston,Sunny Isles Beach,264,52,17675.2
1050,Florida,Miami,Brooklyn,142,95,24219.43
1051,Florida,Los Angeles,Santa Monica,143,10,17231.95
1052,Florida,Los Angeles,Sunny Isles Beach,92,19,20940.4
1053,Florida,Los Angeles,Sunny Isles Beach,354,58,21685.03
1054,Illinois,Los Angeles,Brooklyn,322,96,20978.17
1055,New York,New York,Santa Monica,288,1,10709.68
1056,California,Los Angeles,Brooklyn,215,69,5642.15
1057,Florida,Miami,Santa Monica,342,4,9976.62
1058,Texas,Chicago,Naperville,51,16,22308.23
1059,Florida,Los Angeles,The Woodlands,153,24,3750.46
1060,Texas,New York,The Woodlands,186,80,12881.82
1061,Texas,New York,The Woodlands,63,2,5907.38
1062,Florida,Los Angeles,Brooklyn,190,92,14574.5
1063,Illinois,Chicago,Naperville,125,32,21592.15
1064,Texas,Los Angeles,Santa Monica,150,91,22020.96
1065,Texas,New York,Sunny Isles Beach,314,84,5993.46
1066,Florida,Houston,Santa Monica,58,24,22701.57
1067,Texas,Miami,Sunny Isles Beach,342,12,14838.03
1068,Texas,New York,Santa Monica,305,50,8820.43
1069,Florida,Los Angeles,Naperville,180,35,17733.71
1070,Florida,Miami,Sunny Isles Beach,170,33,12093.51
1071,California,Los Angeles,Brooklyn,326,33,9511.89
1072,Illinois,Los Angeles,Santa Monica,271,61,17656.6
1073,Illinois,Houston,Santa Monica,54,51,6293.23
1074,Texas,Miami,Sunny Isles Beach,101,43,8323.29
1075,Illinois,Miami,Brooklyn,264,12,10917.85
1076,Texas,Houston,Brooklyn,53,67,6416.69
1077,California,New York,Naperville,60,65,10189.53
1078,Florida,Los Angeles,Brooklyn,108,33,14329.68
1079,Florida,Chicago,Brooklyn,5,40,18550.25
1080,Florida,Los Angeles,Brooklyn,103,74,19203.15
1081,Illinois,Los Angeles,The Woodlands,196,43,20587.48
1082,California,New York,Naperville,262,44,18630.87
1083,Illinois,Los Angeles,Santa Monica,350,29,17057.88
1084,Illinois,Houston,Sunny Isles Beach,47,13,6013.91
1085,California,Houston,Santa Monica,355,12,10065.55
1086,California,Miami,Naperville,311,95,11995.1
1087,California,Chicago,Sunny Isles Beach,308,46,2163.99
1088,California,Los Angeles,Naperville,144,2,13256.42
1089,Florida,Los Angeles,Brooklyn,269,35,10964.76
1090,New York,New York,Sunny Isles Beach,124,87,20072.52
1091,New York,Houston,Brooklyn,106,81,24449.73
1092,California,Chicago,Santa Monica,158,90,13944.53
1093,New York,Miami,Santa Monica,147,8,8134.89
1094,New York,Houston,Sunny Isles Beach,145,93,1180.68
1095,California,Miami,Sunny Isles Beach,120,26,23123.62
1096,New York,New York,Naperville,319,74,22985.98
1097,Illinois,New York,Naperville,275,90,6399.46
1098,Texas,Los Angeles,Brooklyn,92,34,17415.74
1099,Texas,Chicago,Sunny Isles Beach,58,7,1978.32
1100,California,Miami,Santa Monica,346,68,4238.76
