SKUID,Manufacturer,Segment,Category
5001,Nestlé,Food,Confectionery
5002,Nestlé,Household,Breakfast Cereals
5003,Procter & Gamble,Household,Condiments
5004,Mondelez,Beverages,Breakfast Cereals
5005,Mondelez,Beverages,Condiments
5006,Coca-Cola,Beverages,Cleaning Supplies
5007,Danone,Food,Cleaning Supplies
5008,L'Oreal,Beverages,Snacks
5009,Heinz,Household,Skincare
5010,Kellogg's,Household,Yogurt Drinks
5011,Mondelez,Beverages,Snacks
5012,Kellogg's,Beverages,Skincare
5013,Procter & Gamble,Personal Care,Soft Drinks
5014,Kellogg's,Household,Confectionery
5015,Heinz,Food,Confectionery
5016,Unilever,Personal Care,Laundry Detergents
5017,Heinz,Beverages,Soft Drinks
5018,Kellogg's,Beverages,Juices
5019,Heinz,Household,Skincare
5020,PepsiCo,Beverages,Cleaning Supplies
5021,Procter & Gamble,Food,Laundry Detergents
5022,L'Oreal,Household,Cleaning Supplies
5023,Unilever,Beverages,Laundry Detergents
5024,Mondelez,Household,Energy Drinks
5025,Nestlé,Beverages,Energy Drinks
5026,L'Oreal,Beverages,Confectionery
5027,Nestlé,Beverages,Condiments
5028,Procter & Gamble,Food,Cleaning Supplies
5029,Unilever,Food,Cleaning Supplies
5030,Coca-Cola,Household,Cleaning Supplies
5031,Mondelez,Beverages,Condiments
5032,PepsiCo,Beverages,Oral Care
5033,Coca-Cola,Food,Oral Care
5034,Procter & Gamble,Beverages,Condiments
5035,L'Oreal,Food,Breakfast Cereals
5036,PepsiCo,Beverages,Confectionery
5037,Heinz,Household,Confectionery
5038,Kellogg's,Beverages,Confectionery
5039,PepsiCo,Beverages,Confectionery
5040,Procter & Gamble,Personal Care,Laundry Detergents
5041,Danone,Food,Laundry Detergents
5042,Kellogg's,Beverages,Cleaning Supplies
5043,Nestlé,Beverages,Cleaning Supplies
5044,Mondelez,Personal Care,Confectionery
5045,Nestlé,Personal Care,Oral Care
5046,PepsiCo,Food,Energy Drinks
5047,Nestlé,Personal Care,Snacks
5048,Procter & Gamble,Household,Yogurt Drinks
5049,Heinz,Personal Care,Skincare
5050,L'Oreal,Household,Cleaning Supplies
