Week,CustomerID,SKUID,Quantity,OrderValue
2022-01-02,1055,5004,2,53.58
2022-01-02,1058,5009,3,43.94
2022-01-02,1011,5049,3,184.34
2022-01-02,1011,5030,3,256.42
2022-01-02,1011,5038,1,26.83
2022-01-02,1011,5002,2,147.97
2022-01-02,1011,5015,4,222.74
2022-01-02,1016,5026,2,71.95
2022-01-02,1031,5036,1,57.93
2022-01-02,1091,5023,2,198.19
2022-01-02,1069,5037,1,20.5
2022-01-02,1069,5009,3,157.33
2022-01-02,1006,5044,2,187.93
2022-01-02,1006,5050,3,283.35
2022-01-02,1088,5040,4,246.81
2022-01-02,1081,5041,1,28.15
2022-01-02,1029,5005,3,209.6
2022-01-02,1041,5040,4,175.7
2022-01-02,1041,5008,3,198.51
2022-01-02,1041,5039,1,77.28
2022-01-02,1087,5033,3,133.65
2022-01-02,1085,5006,3,120.42
2022-01-02,1085,5003,4,100.02
2022-01-02,1085,5007,3,197.42
2022-01-02,1099,5033,3,68.64
2022-01-02,1099,5037,4,245.16
2022-01-02,1099,5027,2,108.92
2022-01-02,1090,5013,3,132.28
2022-01-02,1094,5029,4,317.88
2022-01-02,1094,5047,3,203.11
2022-01-02,1094,5004,3,182.69
2022-01-09,1019,5050,1,46.07
2022-01-09,1019,5002,2,157.76
2022-01-09,1019,5028,4,105.49
2022-01-09,1084,5046,3,294.31
2022-01-09,1084,5034,4,297.75
2022-01-09,1084,5033,1,46.72
2022-01-09,1004,5008,1,26.07
2022-01-09,1004,5047,1,60.1
2022-01-09,1087,5014,1,28.71
2022-01-09,1087,5031,3,63.15
2022-01-09,1087,5048,3,187.42
2022-01-09,1087,5018,4,293.42
2022-01-09,1087,5007,1,83.57
2022-01-09,1087,5010,4,160.91
2022-01-09,1087,5007,3,132.52
2022-01-09,1014,5038,1,49.25
2022-01-09,1014,5030,4,119.02
2022-01-09,1079,5030,3,245.96
2022-01-09,1079,5046,1,53.63
2022-01-09,1058,5009,2,197.19
2022-01-09,1058,5022,2,182.1
2022-01-09,1058,5043,2,69.02
2022-01-09,1028,5036,1,34.66
2022-01-09,1048,5042,3,273.01
2022-01-09,1048,5022,2,151.79
2022-01-09,1048,5021,2,128.09
2022-01-09,1003,5045,1,47.69
2022-01-09,1056,5043,3,54.39
